Round #,Red 1,Red 2,Blue 1,Blue 2,Red Score,Blue Score
1,5163,8325,7407,3371,107,83
2,5069,9371,3540,3006,78,16
3,8365,123,4017,4781,103,44
4,18,5477,10532,8500,13,48
5,9928,6657,8200,3896,117,46
6,10791,4174,10392,8721,86,91
7,7035,4995,6899,10696,104,77
8,479,4137,7164,8490,13,227
9,4326,10419,5602,9372,56,38
10,8500,8325,5069,8200,111,299
11,3006,3371,10791,4781,49,88
12,3896,8365,4995,9371,14,65
13,19382,10352,8490,123,105,66
14,18,9372,8721,9928,68,4
15,479,6899,6657,10419,3,89
16,4174,4326,7035,5163,51,6
17,10696,7164,5477,5602,52,76
18,7407,4017,3540,4137,133,82
19,8490,3006,8365,9372,65,75
20,18,9371,3371,6657,133,82
21,4995,9928,8325,10392,65,75
22,5163,5602,5069,6899,87,209
23,7164,7035,4017,10791,129,161
24,10419,8200,4174,4781,12,56
25,4326,3896,10532,7407,53,72
26,5477,479,123,3540,7,12
27,10696,8721,8500,4137,32,208
28,6657,5069,4995,7164,239,85
29,10419,8490,5163,18,89,237
30,4017,9372,6899,9371,157,193
31,3006,3869,5477,8325,85,122
32,8200,10392,4137,4326,64,148
33,8721,3371,479,7035,97,26
34,5602,8500,10791,8365,16,87
35,7407,4174,10696,123,68,114
36,3540,10532,4781,9928,61,74
37,8200,4017,4995,5477,156,25
38,10392,9372,3896,479,82,5
39,6899,7164,8365,8325,161,115
40,7407,7035,3006,8500,55,58
41,10696,5069,4326,3371,148,113
42,5602,3540,18,4174,33,63
43,8490,4781,8721,6657,50,14
44,4137,9928,10419,123,92,99
45,10791,10532,5163,9371,1,103
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
